round_epochs,val_loss,val_accuracy,loss,accuracy,dropout,final_activation,loss_function,lr,num_Nodes,regularizer
203,0.1525372713804245,0.2693965435028076,0.15179859101772308,0.2750786,1,sigmoid,mean_squared_error,0.06,18,<keras.regularizers.L1L2 object at 0x00000139910F6DC8>
531,0.14515626430511475,0.3670977056026459,0.139576256275177,0.41392007,1,sigmoid,mean_squared_error,0.06,21,None
203,0.15255099534988403,0.2693965435028076,0.15181398391723633,0.2750786,1,sigmoid,mean_squared_error,0.06,21,<keras.regularizers.L1L2 object at 0x00000139910F6DC8>
167,0.15248218178749084,0.2690373659133911,0.1516849249601364,0.27498877,1,sigmoid,mean_squared_error,0.1,9,None
203,0.1524731069803238,0.2693965435028076,0.15169842541217804,0.2750786,1,sigmoid,mean_squared_error,0.1,9,<keras.regularizers.L1L2 object at 0x00000139910F6DC8>
164,0.1524837613105774,0.2697557508945465,0.15168346464633942,0.27633587,1,sigmoid,mean_squared_error,0.1,12,None
201,0.15247327089309692,0.2693965435028076,0.15170028805732727,0.2750786,1,sigmoid,mean_squared_error,0.1,12,<keras.regularizers.L1L2 object at 0x00000139910F6DC8>
509,0.14465591311454773,0.3635057508945465,0.1420358568429947,0.38868433,1,sigmoid,mean_squared_error,0.1,15,None
202,0.15247371792793274,0.2693965435028076,0.15169967710971832,0.2750786,1,sigmoid,mean_squared_error,0.1,15,<keras.regularizers.L1L2 object at 0x00000139910F6DC8>
381,0.14466620981693268,0.36961206793785095,0.14024801552295685,0.40458015,1,sigmoid,mean_squared_error,0.1,18,None
203,0.15247391164302826,0.2693965435028076,0.15170127153396606,0.2750786,1,sigmoid,mean_squared_error,0.1,18,<keras.regularizers.L1L2 object at 0x00000139910F6DC8>
482,0.1451239436864853,0.363864928483963,0.13990548253059387,0.40628648,1,sigmoid,mean_squared_error,0.1,21,None
202,0.15247446298599243,0.2693965435028076,0.1517021656036377,0.2750786,1,sigmoid,mean_squared_error,0.1,21,<keras.regularizers.L1L2 object at 0x00000139910F6DC8>
179,0.1524820327758789,0.2693965435028076,0.15168476104736328,0.2750786,1,sigmoid,mean_squared_error,0.13,9,None
201,0.15247298777103424,0.2693965435028076,0.15168865025043488,0.2750786,1,sigmoid,mean_squared_error,0.13,9,<keras.regularizers.L1L2 object at 0x00000139910F6DC8>
159,0.15248176455497742,0.2697557508945465,0.1516837775707245,0.27579704,1,sigmoid,mean_squared_error,0.13,12,None
202,0.1524735540151596,0.2693965435028076,0.15168868005275726,0.2750786,1,sigmoid,mean_squared_error,0.13,12,<keras.regularizers.L1L2 object at 0x00000139910F6DC8>
576,0.1449330896139145,0.3656609058380127,0.14148780703544617,0.38733724,1,sigmoid,mean_squared_error,0.13,15,None
202,0.152473583817482,0.2693965435028076,0.15168939530849457,0.2750786,1,sigmoid,mean_squared_error,0.13,15,<keras.regularizers.L1L2 object at 0x00000139910F6DC8>
695,0.14386717975139618,0.37068966031074524,0.14017760753631592,0.40628648,1,sigmoid,mean_squared_error,0.13,18,None
202,0.15247312188148499,0.2693965435028076,0.15169115364551544,0.2750786,1,sigmoid,mean_squared_error,0.13,18,<keras.regularizers.L1L2 object at 0x00000139910F6DC8>
324,0.1456308662891388,0.35991379618644714,0.13939371705055237,0.4143691,1,sigmoid,mean_squared_error,0.13,21,None
202,0.1524735987186432,0.2693965435028076,0.15168939530849457,0.2750786,1,sigmoid,mean_squared_error,0.13,21,<keras.regularizers.L1L2 object at 0x00000139910F6DC8>
158,1.4810247421264648,0.2693965435028076,1.463549017906189,0.2750786,1,sigmoid,categorical_crossentropy,0.005,9,None
249,1.4885344505310059,0.2693965435028076,1.4729527235031128,0.2750786,1,sigmoid,categorical_crossentropy,0.005,9,<keras.regularizers.L1L2 object at 0x00000139910F6DC8>
144,1.4808679819107056,0.2693965435028076,1.463394045829773,0.2750786,1,sigmoid,categorical_crossentropy,0.005,12,None
209,1.4882709980010986,0.2693965435028076,1.472490668296814,0.2750786,1,sigmoid,categorical_crossentropy,0.005,12,<keras.regularizers.L1L2 object at 0x00000139910F6DC8>
137,1.4807605743408203,0.2693965435028076,1.4632261991500854,0.2750786,1,sigmoid,categorical_crossentropy,0.005,15,None
234,1.4869937896728516,0.2693965435028076,1.470929503440857,0.2750786,1,sigmoid,categorical_crossentropy,0.005,15,<keras.regularizers.L1L2 object at 0x00000139910F6DC8>
128,1.4804096221923828,0.2693965435028076,1.4627587795257568,0.2750786,1,sigmoid,categorical_crossentropy,0.005,18,None
205,1.486847996711731,0.2693965435028076,1.4706896543502808,0.2750786,1,sigmoid,categorical_crossentropy,0.005,18,<keras.regularizers.L1L2 object at 0x00000139910F6DC8>
128,1.4804977178573608,0.2693965435028076,1.4628571271896362,0.2750786,1,sigmoid,categorical_crossentropy,0.005,21,None
235,1.485815167427063,0.2693965435028076,1.4694578647613525,0.2750786,1,sigmoid,categorical_crossentropy,0.005,21,<keras.regularizers.L1L2 object at 0x00000139910F6DC8>
127,1.480760097503662,0.2693965435028076,1.4632478952407837,0.2750786,1,sigmoid,categorical_crossentropy,0.01,9,None
229,1.4852360486984253,0.2693965435028076,1.4691931009292603,0.2750786,1,sigmoid,categorical_crossentropy,0.01,9,<keras.regularizers.L1L2 object at 0x00000139910F6DC8>
929,1.3912930488586426,0.36925286054611206,1.3393919467926025,0.4090705,1,sigmoid,categorical_crossentropy,0.01,12,None
223,1.4848580360412598,0.2693965435028076,1.4685958623886108,0.2750786,1,sigmoid,categorical_crossentropy,0.01,12,<keras.regularizers.L1L2 object at 0x00000139910F6DC8>
790,1.3878464698791504,0.3767959773540497,1.3438427448272705,0.4028738,1,sigmoid,categorical_crossentropy,0.01,15,None
206,1.484831690788269,0.2693965435028076,1.4684604406356812,0.2750786,1,sigmoid,categorical_crossentropy,0.01,15,<keras.regularizers.L1L2 object at 0x00000139910F6DC8>
1098,1.3909626007080078,0.37104883790016174,1.3361725807189941,0.4079928,1,sigmoid,categorical_crossentropy,0.01,18,None
201,1.4845411777496338,0.2693965435028076,1.468047022819519,0.2750786,1,sigmoid,categorical_crossentropy,0.01,18,<keras.regularizers.L1L2 object at 0x00000139910F6DC8>
1029,1.3933839797973633,0.36206895112991333,1.3360592126846313,0.4089807,1,sigmoid,categorical_crossentropy,0.01,21,None
219,1.4839699268341064,0.2693965435028076,1.4673258066177368,0.2750786,1,sigmoid,categorical_crossentropy,0.01,21,<keras.regularizers.L1L2 object at 0x00000139910F6DC8>
770,1.3851608037948608,0.36027297377586365,1.3502146005630493,0.3973956,1,sigmoid,categorical_crossentropy,0.03,9,None
201,1.4814506769180298,0.2693965435028076,1.4644958972930908,0.2750786,1,sigmoid,categorical_crossentropy,0.03,9,<keras.regularizers.L1L2 object at 0x00000139910F6DC8>
753,1.3856959342956543,0.37212643027305603,1.3398587703704834,0.40745398,1,sigmoid,categorical_crossentropy,0.03,12,None
201,1.4815152883529663,0.2693965435028076,1.4645562171936035,0.2750786,1,sigmoid,categorical_crossentropy,0.03,12,<keras.regularizers.L1L2 object at 0x00000139910F6DC8>
661,1.3935118913650513,0.36817529797554016,1.3448872566223145,0.40466997,1,sigmoid,categorical_crossentropy,0.03,15,None
202,1.481600046157837,0.2693965435028076,1.4645414352416992,0.2750786,1,sigmoid,categorical_crossentropy,0.03,15,<keras.regularizers.L1L2 object at 0x00000139910F6DC8>
